onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
502281.0,759393,7,61910.0,5,4,10,162.0,113,106,377108.5
516828.0,714462,3,97538.0,3,7,9,198.0,102,111,234142.5
696192.0,876112,2,122105.0,5,3,13,0.0,114,80,299655.0
522401.0,757454,4,68294.0,5,4,10,163.0,65,89,0.0
537109.0,883382,7,105503.0,3,8,9,177.0,87,115,296565.5
654984.0,768431,3,113292.0,2,5,8,147.0,118,140,260231.0
641477.0,712485,7,144949.0,5,6,12,151.0,68,108,94467.5
0.0,826237,6,0.0,2,2,10,195.0,93,113,236994.0
588901.0,868312,3,97934.0,5,5,10,184.0,113,79,340112.0
596607.0,792572,4,95771.0,1,9,12,136.0,88,115,340760.0
