onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
589240,746731,7,103849,2,10.0,15,150,99,127,294502.5
521508,839890,4,91130,4,8.0,11,165,79,133,332812.0
644097,753962,3,71701,5,3.0,13,169,87,69,414035.0
650874,828284,3,143076,5,0.0,14,169,52,125,198511.5
622325,748066,3,51513,3,4.0,10,146,108,127,479896.0
617740,730220,2,121698,1,8.0,13,156,89,96,203811.5
617306,714214,6,79797,1,10.0,10,192,63,117,392920.5
527637,867907,2,87096,5,2.0,11,147,107,127,351201.5
648198,858419,2,125519,3,8.0,8,185,105,109,267953.5
554232,775303,7,128961,1,3.0,10,176,82,126,140884.0
