onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
640818,757650,3,91163,5,6,9,180,109,138,340165.0
673015,713688,5,74724,1,1,8,178,106,72,393104.0
633837,776469,2,64662,1,3,14,135,72,125,446875.0
658505,815372,3,96683,3,9,13,151,99,101,379991.0
515983,700536,7,104079,4,6,13,138,64,121,188186.0
591776,876192,4,148138,5,9,10,179,95,81,172234.5
603780,763791,7,118943,2,4,14,150,85,110,200408.5
683369,755676,6,89354,1,10,12,140,56,127,408452.5
506701,848062,7,96596,3,9,9,192,52,104,312454.5
616858,777197,7,95246,4,2,8,193,75,85,308376.5
