onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
544593,874532,2,109453,5,4,13,159,99,105,274075.0
565576,894746,7,112910,4,5,10,171,107,113,272437.5
566783,738810,6,70087,3,10,11,141,106,136,418934.0
613678,893062,5,128700,5,3,14,144,62,97,0.0
644663,798258,6,108644,2,2,9,155,67,136,283248.0
660260,791726,2,75311,4,4,10,143,74,89,425960.0
500265,753148,7,52701,5,7,9,184,108,84,417693.5
633344,756063,5,78025,1,9,15,171,94,132,410877.0
563955,876522,2,62260,1,9,8,149,107,71,500903.0
517766,747853,4,79429,3,6,14,170,76,92,318858.0
