onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
698719,801608,3,82517,5,9,10,167.0,98,128,451307.5
508370,862188,6,57881,5,10,8,189.0,99,114,501662.5
609545,842201,3,97223,1,3,12,173.0,99,135,337257.0
584928,862503,7,136402,1,1,12,195.0,74,85,169954.0
524473,772232,3,124833,4,7,10,197.0,55,82,158031.5
658016,865597,4,112697,4,4,11,142.0,99,124,311773.5
661095,828377,2,61760,4,1,11,136.0,117,77,498418.0
600224,892785,7,93335,4,5,13,200.0,115,89,367122.0
612406,885832,6,93572,5,10,15,142.0,56,115,422774.5
549895,792233,5,95730,5,8,14,0.0,91,123,304818.0
