onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
692157,824926.0,7,142959,2,4,9,198,116,99,179077.0
613093,877850.0,7,126287,2,1,13,137,88,117,232192.0
507804,835300.0,7,97320,3,10,13,175,82,114,324260.0
698748,837828.0,3,110549,5,9,10,183,79,111,357294.0
557699,879964.0,7,105139,5,3,11,197,114,87,291815.5
621011,769323.0,6,122677,5,6,14,196,82,76,206296.5
622089,815583.0,7,113889,5,5,15,150,85,74,258268.5
623158,878859.0,6,74674,5,1,10,158,83,81,450198.5
673588,0.0,6,147206,3,4,14,193,98,115,122567.5
633238,743850.0,5,125092,1,6,11,171,95,97,190744.0
