,onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
307,553776,720207,2,139638,2,9,15,164,56,74,108223.5
238,652099,877998,7,60345,3,9,12,183,94,99,545171.0
395,577540,791477,7,65717,1,8,10,186,65,81,429837.5
734,598238,851789,4,131374,5,2,9,181,91,68,200794.5
822,542995,722081,4,80070,3,2,14,159,93,114,312164.5
812,587975,708052,3,85431,5,1,13,147,94,114,307993.0
464,662468,874591,7,133038,3,4,15,184,84,77,228892.5
816,669406,846187,2,90273,5,2,12,186,50,113,398513.5
528,630659,821454,4,147871,2,5,9,198,107,84,135874.0
17,583560,882426,4,115576,2,6,14,195,69,93,274357.5
