,onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
654,576623,876236,3,64751,5,1,11,176,68,70,noise
189,649375,819130,5,70453,4,7,12,170,115,134,460075.0
517,520168,896983,2,149654,4,4,9,145,76,133,111185.0
956,557572,712832,4,144875,2,4,8,182,66,102,55925.0
414,582950,797342,7,137660,2,10,14,189,96,111,181414.5
671,679241,898411,3,65037,1,1,8,184,108,69,528770.0
559,560706,847060,7,146906,3,3,12,163,76,128,108354.0
593,548987,852811,7,70597,1,3,13,191,107,106,410516.0
258,577168,735086,3,141554,1,10,14,178,74,95,140061.5
154,685877,738545,2,107712,5,10,11,183,68,75,333133.0
