,onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
507,502281,759393,7,61910,5,4,10,162,113,106,377108.5
818,516828,714462,3,97538,3,7,9,198,102,111,234142.5
452,696192,876112,2,122105,5,3,13,noise,114,80,299655.0
368,522401,757454,4,68294,5,4,10,163,65,89,noise
242,537109,883382,7,105503,3,8,9,177,87,115,296565.5
929,654984,768431,3,113292,2,5,8,147,118,140,260231.0
262,641477,712485,7,144949,5,6,12,151,68,108,94467.5
810,noise,826237,6,noise,2,2,10,195,93,113,236994.0
318,588901,868312,3,97934,5,5,10,184,113,79,340112.0
49,596607,792572,4,95771,1,9,12,136,88,115,340760.0
