,onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
872,692157,824926,7,142959,2,4,9,198,116,99,179077.0
691,613093,877850,7,126287,2,1,13,137,88,117,232192.0
90,507804,835300,7,97320,3,10,13,175,82,114,324260.0
101,698748,837828,3,110549,5,9,10,183,79,111,357294.0
94,557699,879964,7,105139,5,3,11,197,114,87,291815.5
577,621011,769323,6,122677,5,6,14,196,82,76,206296.5
537,622089,815583,7,113889,5,5,15,150,85,74,258268.5
41,623158,878859,6,74674,5,1,10,158,83,81,450198.5
453,673588,noise,6,147206,3,4,14,193,98,115,122567.5
995,633238,743850,5,125092,1,6,11,171,95,97,190744.0
