,onRoadOld,onRoadNow,years,km,rating,condition,economy,topSpeed,horsePower,torque,currentPrice
910,547958,881844,7,58644,3,5,10,170,107,80,473834.0
718,610290,828062,2,101870,1,2,12,188,109,112,311973.0
744,640249,792994,2,54434,1,9,11,172,107,79,528634.0
494,522640,787740,3,56023,4,8,11,165,101,81,448106.5
404,617893,728235,5,91030,4,4,11,163,84,108,308643.5
274,605017,835653,4,98980,4,7,13,146,106,125,333091.5
78,541051,785642,5,91792,5,5,15,noise,82,68,298023.0
721,697555,716161,5,63403,1,10,10,174,74,125,501920.5
644,520244,753767,4,142396,5,4,9,200,117,97,69231.5
614,646250,839109,7,124667,5,5,15,163,53,129,239018.0
